Epoch, Batch, Num trials, Number correct
0, 0, 512, 55
0, 1, 512, 82
0, 2, 512, 64
0, 3, 512, 83
0, 4, 512, 96
0, 5, 512, 116
0, 6, 512, 111
0, 7, 512, 115
0, 8, 512, 83
0, 9, 512, 80
0, 10, 512, 81
0, 11, 512, 128
0, 12, 512, 118
0, 13, 512, 116
0, 14, 512, 111
0, 15, 512, 147
0, 16, 512, 125
0, 17, 512, 141
0, 18, 512, 168
0, 19, 512, 151
0, 20, 512, 113
0, 21, 512, 101
0, 22, 512, 138
0, 23, 512, 116
0, 24, 512, 111
0, 25, 512, 138
0, 26, 512, 174
0, 27, 512, 200
0, 28, 512, 173
0, 29, 512, 175
0, 30, 512, 172
0, 31, 512, 182
0, 32, 512, 156
0, 33, 512, 172
0, 34, 512, 193
0, 35, 512, 150
0, 36, 512, 169
0, 37, 512, 160
0, 38, 512, 183
0, 39, 512, 201
0, 40, 512, 175
0, 41, 512, 214
0, 42, 512, 180
0, 43, 512, 203
0, 44, 512, 204
0, 45, 512, 167
0, 46, 512, 196
0, 47, 512, 214
0, 48, 512, 199
0, 49, 512, 213
0, 50, 512, 218
0, 51, 512, 198
0, 52, 512, 209
0, 53, 512, 179
0, 54, 512, 230
0, 55, 512, 216
0, 56, 512, 181
0, 57, 512, 232
0, 58, 512, 234
0, 59, 512, 226
0, 60, 512, 272
0, 61, 512, 246
0, 62, 512, 225
0, 63, 512, 210
0, 64, 512, 251
0, 65, 512, 229
0, 66, 512, 255
0, 67, 512, 251
0, 68, 512, 277
0, 69, 512, 247
0, 70, 512, 248
0, 71, 512, 245
0, 72, 512, 283
0, 73, 512, 278
0, 74, 512, 232
0, 75, 512, 236
0, 76, 512, 239
0, 77, 512, 238
0, 78, 512, 231
0, 79, 512, 243
0, 80, 512, 246
0, 81, 512, 255
0, 82, 512, 260
0, 83, 512, 262
0, 84, 512, 248
0, 85, 512, 241
0, 86, 512, 246
0, 87, 512, 250
0, 88, 512, 265
0, 89, 512, 245
0, 90, 512, 277
0, 91, 512, 259
0, 92, 512, 275
0, 93, 512, 247
0, 94, 512, 264
0, 95, 512, 259
0, 96, 512, 261
0, 97, 512, 255
0, 98, 512, 274
0, 99, 512, 245
0, 100, 512, 270
0, 101, 512, 275
0, 102, 512, 272
0, 103, 512, 267
0, 104, 512, 291
0, 105, 512, 290
0, 106, 512, 268
0, 107, 512, 262
0, 108, 512, 285
0, 109, 512, 279
0, 110, 512, 252
0, 111, 512, 249
0, 112, 512, 265
0, 113, 512, 276
0, 114, 512, 289
0, 115, 512, 285
0, 116, 512, 290
0, 117, 96, 74
1, 0, 512, 278
1, 1, 512, 296
1, 2, 512, 301
1, 3, 512, 285
1, 4, 512, 315
1, 5, 512, 264
1, 6, 512, 295
1, 7, 512, 295
1, 8, 512, 277
1, 9, 512, 297
1, 10, 512, 268
1, 11, 512, 237
1, 12, 512, 258
1, 13, 512, 247
1, 14, 512, 249
1, 15, 512, 256
1, 16, 512, 275
1, 17, 512, 263
1, 18, 512, 275
1, 19, 512, 277
1, 20, 512, 283
1, 21, 512, 292
1, 22, 512, 275
1, 23, 512, 298
1, 24, 512, 299
1, 25, 512, 288
1, 26, 512, 292
1, 27, 512, 289
1, 28, 512, 282
1, 29, 512, 294
1, 30, 512, 301
1, 31, 512, 295
1, 32, 512, 309
1, 33, 512, 302
1, 34, 512, 325
1, 35, 512, 294
1, 36, 512, 289
1, 37, 512, 310
1, 38, 512, 312
1, 39, 512, 303
1, 40, 512, 298
1, 41, 512, 321
1, 42, 512, 306
1, 43, 512, 302
1, 44, 512, 331
