Time(ms), Neuron number, Voltage (mV)
0.000000, 0, -63.606022
0.000000, 1, -63.606022
0.000000, 2, -63.606022
0.000000, 3, -63.606022
0.100000, 0, -62.231136
0.100000, 1, -62.242706
0.100000, 2, -62.231136
0.100000, 3, -62.231136
0.200000, 0, -60.860088
0.200000, 1, -60.895069
0.200000, 2, -60.860088
0.200000, 3, -60.860088
0.300000, 0, -59.477886
0.300000, 1, -59.548771
0.300000, 2, -59.477886
0.300000, 3, -59.477886
0.400000, 0, -58.069141
0.400000, 1, -58.189476
0.400000, 2, -58.069141
0.400000, 3, -58.069141
0.500000, 0, -56.617359
0.500000, 1, -56.802246
0.500000, 2, -56.617359
0.500000, 3, -56.617359
0.600000, 0, -55.104168
0.600000, 1, -55.370861
0.600000, 2, -55.104168
0.600000, 3, -55.104168
0.700000, 0, -53.508339
0.700000, 1, -53.877041
0.700000, 2, -53.508339
0.700000, 3, -53.508339
0.800000, 0, -51.804535
0.800000, 1, -52.299477
0.800000, 2, -51.804535
0.800000, 3, -51.804535
0.900000, 0, -49.961590
0.900000, 1, -50.612534
0.900000, 2, -49.961590
0.900000, 3, -49.961590
1.000000, 0, -47.940094
1.000000, 1, -48.784492
1.000000, 2, -47.940094
1.000000, 3, -47.940094
1.100000, 0, -45.688831
1.100000, 1, -46.775005
1.100000, 2, -45.688831
1.100000, 3, -45.688831
1.200000, 0, -43.139420
1.200000, 1, -44.531418
1.200000, 2, -43.139420
1.200000, 3, -43.139420
1.300000, 0, -40.197876
1.300000, 1, -41.983109
1.300000, 2, -40.197876
1.300000, 3, -40.197876
1.400000, 0, -36.730923
1.400000, 1, -39.032600
1.400000, 2, -36.730923
1.400000, 3, -36.730923
1.500000, 0, -32.542686
1.500000, 1, -35.541027
1.500000, 2, -32.542686
1.500000, 3, -32.542686
1.600000, 0, -27.332991
1.600000, 1, -31.303286
1.600000, 2, -27.332991
1.600000, 3, -27.332991
1.700000, 0, -20.618052
1.700000, 1, -26.003258
1.700000, 2, -20.618052
1.700000, 3, -20.618052
1.800000, 0, -11.567787
1.800000, 1, -19.127979
1.800000, 2, -11.567787
1.800000, 3, -11.567787
1.900000, 0, 1.361334
1.900000, 1, -9.789799
1.900000, 2, 1.361334
1.900000, 3, 1.361334
2.000000, 0, 21.365246
2.000000, 1, 3.680120
2.000000, 2, 21.365246
2.000000, 3, 21.365246
2.100000, 0, 56.143135
2.100000, 1, 24.789284
2.100000, 2, 56.143135
2.100000, 3, 56.143135
2.200000, 0, -64.510895
2.200000, 1, 62.173161
2.200000, 2, -48.264839
2.200000, 3, -53.891586
2.300000, 0, -64.029305
2.300000, 1, -64.304047
2.300000, 2, -46.335621
2.300000, 3, -52.709709
2.400000, 0, -63.553303
2.400000, 1, -63.619324
2.400000, 2, -44.159679
2.400000, 3, -51.438072
2.500000, 0, -63.081043
2.500000, 1, -62.942184
2.500000, 2, -41.665894
2.500000, 3, -50.056595
2.600000, 0, -62.610752
2.600000, 1, -62.269142
2.600000, 2, -38.755596
2.600000, 3, -48.540070
2.700000, 0, -62.140690
2.700000, 1, -61.596802
2.700000, 2, -35.287682
2.700000, 3, -46.856285
2.800000, 0, -61.669125
2.800000, 1, -60.921791
2.800000, 2, -31.053028
2.800000, 3, -44.963268
2.900000, 0, -61.194317
2.900000, 1, -60.240681
2.900000, 2, -25.728336
2.900000, 3, -42.805168
3.000000, 0, -60.714474
3.000000, 1, -59.549915
3.000000, 2, -18.787247
3.000000, 3, -40.305889
3.100000, 0, -60.227745
3.100000, 1, -58.845734
3.100000, 2, -9.315446
3.100000, 3, -37.358952
3.200000, 0, -59.732170
3.200000, 1, -58.124088
3.200000, 2, 4.414383
3.200000, 3, -33.810699
3.300000, 0, -59.225670
3.300000, 1, -57.380524
3.300000, 2, 26.056679
3.300000, 3, -29.431158
3.400000, 0, -58.705982
3.400000, 1, -56.610081
3.400000, 2, 64.695999
3.400000, 3, -23.860668
3.500000, 0, -58.170635
3.500000, 1, -55.807137
3.500000, 2, -48.539101
3.500000, 3, -16.505499
3.600000, 0, -57.616905
3.600000, 1, -54.965229
3.600000, 2, -46.916729
3.600000, 3, -6.316096
3.700000, 0, -57.041737
3.700000, 1, -54.076824
3.700000, 2, -45.093216
3.700000, 3, 8.736557
3.800000, 0, -56.441677
3.800000, 1, -53.133022
3.800000, 2, -43.015945
3.800000, 3, 33.084351
3.900000, 0, -55.812790
3.900000, 1, -52.123173
3.900000, 2, -40.613533
3.900000, 3, -54.355946
4.000000, 0, -55.150547
4.000000, 1, -51.034355
4.000000, 2, -37.786587
4.000000, 3, -53.669876
4.100000, 0, -54.449669
4.100000, 1, -49.850681
4.100000, 2, -34.392570
4.100000, 3, -52.935284
4.200000, 0, -53.703968
4.200000, 1, -48.552345
4.200000, 2, -30.219711
4.200000, 3, -52.144409
4.300000, 0, -52.906097
4.300000, 1, -47.114285
4.300000, 2, -24.939863
4.300000, 3, -51.287903
4.400000, 0, -52.047279
4.400000, 1, -45.504246
4.400000, 2, -18.017506
4.400000, 3, -50.354385
4.500000, 0, -51.116886
4.500000, 1, -43.679981
4.500000, 2, -8.519857
4.500000, 3, -49.329853
4.600000, 0, -50.101925
4.600000, 1, -41.585026
4.600000, 2, 5.321299
4.600000, 3, -48.196880
4.700000, 0, -48.986301
4.700000, 1, -39.142170
4.700000, 2, 27.264137
4.700000, 3, -46.933487
4.800000, 0, -47.749847
4.800000, 1, -36.243019
4.800000, 2, 66.713783
4.800000, 3, -45.511539
4.900000, 0, -46.366917
4.900000, 1, -32.730667
4.900000, 2, -48.802273
4.900000, 3, -43.894455
5.000000, 0, -44.804382
5.000000, 1, -28.369497
5.000000, 2, -47.473431
5.000000, 3, -42.033772
5.100000, 0, -43.018692
5.100000, 1, -22.789757
5.100000, 2, -45.984573
5.100000, 3, -39.863953
5.200000, 0, -40.951443
5.200000, 1, -15.378553
5.200000, 2, -44.298096
5.200000, 3, -37.294197
5.300000, 0, -38.522495
5.300000, 1, -5.047027
5.300000, 2, -42.364140
5.300000, 3, -34.195137
5.400000, 0, -35.618946
5.400000, 1, 10.323524
5.400000, 2, -40.115181
5.400000, 3, -30.376225
5.500000, 0, -32.076687
5.500000, 1, 35.402496
5.500000, 2, -37.457481
5.500000, 3, -25.545401
5.600000, 0, -27.648155
5.600000, 1, -64.739845
5.600000, 2, -34.257160
5.600000, 3, -19.232626
5.700000, 0, -21.942648
5.700000, 1, -64.475876
5.700000, 2, -30.316410
5.700000, 3, -10.633722
5.800000, 0, -14.308022
5.800000, 1, -64.207886
5.800000, 2, -25.330858
5.800000, 3, 1.739955
5.900000, 0, -3.575194
5.900000, 1, -63.935635
5.900000, 2, -18.808226
5.900000, 3, 20.950438
6.000000, 0, 12.558275
6.000000, 1, -63.658863
6.000000, 2, -9.900959
6.000000, 3, 54.302361
6.100000, 0, 39.254044
6.100000, 1, -63.377281
6.100000, 2, 2.972984
6.100000, 3, -54.796333
6.200000, 0, -65.333916
6.200000, 1, -63.090565
6.200000, 2, 23.105085
6.200000, 3, -54.577995
6.300000, 0, -65.656387
6.300000, 1, -62.798351
6.300000, 2, 58.478615
6.300000, 3, -54.343712
6.400000, 0, -65.966827
6.400000, 1, -62.500244
6.400000, 2, -49.050709
6.400000, 3, -54.092045
6.500000, 0, -66.264755
6.500000, 1, -62.195801
6.500000, 2, -47.998154
6.500000, 3, -53.821362
6.600000, 0, -66.549797
6.600000, 1, -61.884541
6.600000, 2, -46.822083
6.600000, 3, -53.529804
6.700000, 0, -66.821678
6.700000, 1, -61.565922
6.700000, 2, -45.496677
6.700000, 3, -53.215244
6.800000, 0, -67.080223
6.800000, 1, -61.239346
6.800000, 2, -43.988544
6.800000, 3, -52.875252
6.900000, 0, -67.325348
6.900000, 1, -60.904140
6.900000, 2, -42.253693
6.900000, 3, -52.507004
7.000000, 0, -67.557060
7.000000, 1, -60.559574
7.000000, 2, -40.233047
7.000000, 3, -52.107231
7.100000, 0, -67.775429
7.100000, 1, -60.204823
7.100000, 2, -37.845421
7.100000, 3, -51.672127
7.200000, 0, -67.980614
7.200000, 1, -59.838963
7.200000, 2, -34.976257
7.200000, 3, -51.197205
7.300000, 0, -68.172821
7.300000, 1, -59.460968
7.300000, 2, -31.458759
7.300000, 3, -50.677181
7.400000, 0, -68.352318
7.400000, 1, -59.069675
7.400000, 2, -27.040852
7.400000, 3, -50.105762
7.500000, 0, -68.519417
7.500000, 1, -58.663780
7.500000, 2, -21.323820
7.500000, 3, -49.475399
7.600000, 0, -68.674469
7.600000, 1, -58.241806
7.600000, 2, -13.640355
7.600000, 3, -48.776962
7.700000, 0, -68.817863
7.700000, 1, -57.802078
7.700000, 2, -2.790057
7.700000, 3, -47.999313
7.800000, 0, -68.949997
7.800000, 1, -57.342690
7.800000, 2, 13.602115
7.800000, 3, -47.128716
7.900000, 0, -69.071312
7.900000, 1, -56.861462
7.900000, 2, 40.895302
7.900000, 3, -46.148037
8.000000, 0, -69.182236
8.000000, 1, -56.355881
8.000000, 2, -49.281059
8.000000, 3, -45.035648
8.100000, 0, -69.283218
8.100000, 1, -55.823051
8.100000, 2, -48.483974
8.100000, 3, -43.763855
8.200000, 0, -69.374710
8.200000, 1, -55.259609
8.200000, 2, -47.595211
8.200000, 3, -42.296631
8.300000, 0, -69.457161
8.300000, 1, -54.661629
8.300000, 2, -46.597916
8.300000, 3, -40.586262
8.400000, 0, -69.531013
8.400000, 1, -54.024498
8.400000, 2, -45.470818
8.400000, 3, -38.568249
8.500000, 0, -69.596710
8.500000, 1, -53.342754
8.500000, 2, -44.186718
8.500000, 3, -36.153309
8.600000, 0, -69.654678
8.600000, 1, -52.609905
8.600000, 2, -42.710270
8.600000, 3, -33.214375
8.700000, 0, -69.705330
8.700000, 1, -51.818142
8.700000, 2, -40.994724
8.700000, 3, -29.564596
8.800000, 0, -69.749077
8.800000, 1, -50.958015
8.800000, 2, -38.976982
8.800000, 3, -24.918137
8.900000, 0, -69.786293
8.900000, 1, -50.017967
8.900000, 2, -36.569851
8.900000, 3, -18.816153
9.000000, 0, -69.817360
9.000000, 1, -48.983727
9.000000, 2, -33.649509
9.000000, 3, -10.476204
9.100000, 0, -69.842644
9.100000, 1, -47.837448
9.100000, 2, -30.034304
9.100000, 3, 1.543823
9.200000, 0, -69.862488
9.200000, 1, -46.556553
9.200000, 2, -25.447208
9.200000, 3, 20.192640
9.300000, 0, -69.877205
9.300000, 1, -45.112049
9.300000, 2, -19.445160
9.300000, 3, 52.444328
9.400000, 0, -69.887115
9.400000, 1, -43.466091
9.400000, 2, -11.276176
9.400000, 3, -55.182995
9.500000, 0, -69.892509
9.500000, 1, -41.568375
9.500000, 2, 0.437215
9.500000, 3, -55.373344
9.600000, 0, -69.893669
9.600000, 1, -39.350605
9.600000, 2, 18.488075
9.600000, 3, -55.571190
9.700000, 0, -69.890854
9.700000, 1, -36.717770
9.700000, 2, 49.403179
9.700000, 3, -55.776649
9.800000, 0, -69.884308
9.800000, 1, -33.533852
9.800000, 2, -49.497826
9.800000, 3, -55.989807
9.900000, 0, -69.874268
9.900000, 1, -29.597412
9.900000, 2, -48.940525
9.900000, 3, -56.210716
10.000000, 0, -69.860947
10.000000, 1, -24.597696
10.000000, 2, -48.319767
10.000000, 3, -56.439392
10.100000, 0, -69.844559
10.100000, 1, -18.030596
10.100000, 2, -47.625439
10.100000, 3, -56.675808
10.200000, 0, -69.825287
10.200000, 1, -9.025030
10.200000, 2, -46.845142
10.200000, 3, -56.919884
10.300000, 0, -69.803322
10.300000, 1, 4.052520
10.300000, 2, -45.963501
10.300000, 3, -57.171501
10.400000, 0, -69.778831
10.400000, 1, 24.621964
10.400000, 2, -44.961235
10.400000, 3, -57.430489
10.500000, 0, -69.751976
10.500000, 1, 61.053288
10.500000, 2, -43.813831
10.500000, 3, -57.696613
10.600000, 0, -69.722893
10.600000, 1, -64.952232
10.600000, 2, -42.489662
10.600000, 3, -57.969597
10.700000, 0, -69.691719
10.700000, 1, -64.892509
10.700000, 2, -40.947227
10.700000, 3, -58.249100
10.800000, 0, -69.658592
10.800000, 1, -64.821320
10.800000, 2, -39.131016
10.800000, 3, -58.534718
10.900000, 0, -69.623634
10.900000, 1, -64.739120
10.900000, 2, -36.965103
10.900000, 3, -58.826008
11.000000, 0, -69.586952
11.000000, 1, -64.646332
11.000000, 2, -34.342968
11.000000, 3, -59.122456
11.100000, 0, -69.548645
11.100000, 1, -64.543365
11.100000, 2, -31.110590
11.100000, 3, -59.423504
11.200000, 0, -69.508812
11.200000, 1, -64.430588
11.200000, 2, -27.037086
11.200000, 3, -59.728539
11.300000, 0, -69.467545
11.300000, 1, -64.308327
11.300000, 2, -21.760967
11.300000, 3, -60.036903
11.400000, 0, -69.424934
11.400000, 1, -64.176880
11.400000, 2, -14.684872
11.400000, 3, -60.347897
11.500000, 0, -69.381042
11.500000, 1, -64.036522
11.500000, 2, -4.751752
11.500000, 3, -60.660789
11.600000, 0, -69.335953
11.600000, 1, -63.887482
11.600000, 2, 10.084261
11.600000, 3, -60.974819
11.700000, 0, -69.289734
11.700000, 1, -63.729958
11.700000, 2, 34.298714
11.700000, 3, -61.289196
