Time(ms), Neuron ID
202.000000, 6
202.000000, 7
203.000000, 8
203.000000, 9
203.000000, 10
203.000000, 11
203.000000, 12
203.000000, 13
204.000000, 0
204.000000, 1
204.000000, 2
204.000000, 3
204.000000, 4
204.000000, 5
207.000000, 6
207.000000, 7
211.000000, 5
212.000000, 8
221.000000, 4
222.000000, 9
231.000000, 3
233.000000, 10
242.000000, 2
243.000000, 11
262.000000, 1
263.000000, 12
303.000000, 0
304.000000, 13
1202.000000, 6
1202.000000, 7
1203.000000, 8
1203.000000, 9
1203.000000, 10
1203.000000, 11
1203.000000, 12
1203.000000, 13
1204.000000, 0
1204.000000, 1
1204.000000, 2
1204.000000, 3
1204.000000, 4
1204.000000, 5
1207.000000, 6
1207.000000, 7
1211.000000, 5
1212.000000, 8
1221.000000, 4
1222.000000, 9
1231.000000, 3
1233.000000, 10
1242.000000, 2
1243.000000, 11
1262.000000, 1
1263.000000, 12
1303.000000, 0
1304.000000, 13
2202.000000, 6
2202.000000, 7
2203.000000, 8
2203.000000, 9
2203.000000, 10
2203.000000, 11
2203.000000, 12
2203.000000, 13
2204.000000, 0
2204.000000, 1
2204.000000, 2
2204.000000, 3
2204.000000, 4
2204.000000, 5
2207.000000, 6
2207.000000, 7
2211.000000, 5
2212.000000, 8
2221.000000, 4
2222.000000, 9
2231.000000, 3
2233.000000, 10
2242.000000, 2
2243.000000, 11
2262.000000, 1
2263.000000, 12
2303.000000, 0
2304.000000, 13
3202.000000, 6
3202.000000, 7
3203.000000, 8
3203.000000, 9
3203.000000, 10
3203.000000, 11
3203.000000, 12
3203.000000, 13
3204.000000, 0
3204.000000, 1
3204.000000, 2
3204.000000, 3
3204.000000, 4
3204.000000, 5
3207.000000, 6
3207.000000, 7
3211.000000, 5
3212.000000, 8
3221.000000, 4
3222.000000, 9
3231.000000, 3
3233.000000, 10
3242.000000, 2
3243.000000, 11
3262.000000, 1
3263.000000, 12
3303.000000, 0
3304.000000, 13
4202.000000, 6
4202.000000, 7
4203.000000, 8
4203.000000, 9
4203.000000, 10
4203.000000, 11
4203.000000, 12
4203.000000, 13
4204.000000, 0
4204.000000, 1
4204.000000, 2
4204.000000, 3
4204.000000, 4
4204.000000, 5
4207.000000, 6
4207.000000, 7
4211.000000, 5
4212.000000, 8
4221.000000, 4
4222.000000, 9
4231.000000, 3
4233.000000, 10
4242.000000, 2
4243.000000, 11
4262.000000, 1
4263.000000, 12
4303.000000, 0
4304.000000, 13
5202.000000, 6
5202.000000, 7
5203.000000, 8
5203.000000, 9
5203.000000, 10
5203.000000, 11
5203.000000, 12
5203.000000, 13
5204.000000, 0
5204.000000, 1
5204.000000, 2
5204.000000, 3
5204.000000, 4
5204.000000, 5
5207.000000, 6
5207.000000, 7
5211.000000, 5
5212.000000, 8
5221.000000, 4
5222.000000, 9
5231.000000, 3
5233.000000, 10
5242.000000, 2
5243.000000, 11
5262.000000, 1
5263.000000, 12
5303.000000, 0
5304.000000, 13
6202.000000, 6
6202.000000, 7
6203.000000, 8
6203.000000, 9
6203.000000, 10
6203.000000, 11
6203.000000, 12
6203.000000, 13
6204.000000, 0
6204.000000, 1
6204.000000, 2
6204.000000, 3
6204.000000, 4
6204.000000, 5
6207.000000, 6
6207.000000, 7
6211.000000, 5
6212.000000, 8
6221.000000, 4
6222.000000, 9
6231.000000, 3
6233.000000, 10
6242.000000, 2
6243.000000, 11
6262.000000, 1
6263.000000, 12
6303.000000, 0
6304.000000, 13
7202.000000, 6
7202.000000, 7
7203.000000, 8
7203.000000, 9
7203.000000, 10
7203.000000, 11
7203.000000, 12
7203.000000, 13
7204.000000, 0
7204.000000, 1
7204.000000, 2
7204.000000, 3
7204.000000, 4
