Time(ms), Neuron ID
203.000000, 7
203.000000, 8
203.000000, 9
203.000000, 10
203.000000, 11
203.000000, 12
203.000000, 13
204.000000, 6
213.000000, 5
223.000000, 4
233.000000, 3
243.000000, 2
263.000000, 1
303.000000, 0
1203.000000, 7
1203.000000, 8
1203.000000, 9
1203.000000, 10
1203.000000, 11
1203.000000, 12
1203.000000, 13
1204.000000, 6
1213.000000, 5
1223.000000, 4
1233.000000, 3
1243.000000, 2
1263.000000, 1
1303.000000, 0
2203.000000, 7
2203.000000, 8
2203.000000, 9
2203.000000, 10
2203.000000, 11
2203.000000, 12
2203.000000, 13
2204.000000, 6
2213.000000, 5
2223.000000, 4
2233.000000, 3
2243.000000, 2
2263.000000, 1
2303.000000, 0
3203.000000, 7
3203.000000, 8
3203.000000, 9
3203.000000, 10
3203.000000, 11
3203.000000, 12
3203.000000, 13
3204.000000, 6
3213.000000, 5
3223.000000, 4
3233.000000, 3
3243.000000, 2
3263.000000, 1
3303.000000, 0
4203.000000, 7
4203.000000, 8
4203.000000, 9
4203.000000, 10
4203.000000, 11
4203.000000, 12
4203.000000, 13
4204.000000, 6
4213.000000, 5
4223.000000, 4
4233.000000, 3
4243.000000, 2
4263.000000, 1
4303.000000, 0
5203.000000, 7
5203.000000, 8
5203.000000, 9
5203.000000, 10
5203.000000, 11
5203.000000, 12
5203.000000, 13
5204.000000, 6
5213.000000, 5
5223.000000, 4
5233.000000, 3
5243.000000, 2
5263.000000, 1
5303.000000, 0
6203.000000, 7
6203.000000, 8
6203.000000, 9
6203.000000, 10
6203.000000, 11
6203.000000, 12
6203.000000, 13
6204.000000, 6
6213.000000, 5
6223.000000, 4
6233.000000, 3
6243.000000, 2
6263.000000, 1
6303.000000, 0
7203.000000, 7
7203.000000, 8
7203.000000, 9
7203.000000, 10
7203.000000, 11
7203.000000, 12
7203.000000, 13
7204.000000, 6
7213.000000, 5
7223.000000, 4
7233.000000, 3
7243.000000, 2
7263.000000, 1
7303.000000, 0
8203.000000, 7
8203.000000, 8
8203.000000, 9
8203.000000, 10
8203.000000, 11
8203.000000, 12
8203.000000, 13
8204.000000, 6
8213.000000, 5
8223.000000, 4
8233.000000, 3
8243.000000, 2
8263.000000, 1
8303.000000, 0
9203.000000, 7
9203.000000, 8
9203.000000, 9
9203.000000, 10
9203.000000, 11
9203.000000, 12
9203.000000, 13
9204.000000, 6
9213.000000, 5
9223.000000, 4
9233.000000, 3
9243.000000, 2
9263.000000, 1
9303.000000, 0
10203.000000, 7
10203.000000, 8
10203.000000, 9
10203.000000, 10
10203.000000, 11
10203.000000, 12
10203.000000, 13
10204.000000, 6
10213.000000, 5
10223.000000, 4
10233.000000, 3
10243.000000, 2
10263.000000, 1
10303.000000, 0
11203.000000, 7
11203.000000, 8
11203.000000, 9
11203.000000, 10
11203.000000, 11
11203.000000, 12
11203.000000, 13
11204.000000, 6
11213.000000, 5
11223.000000, 4
11233.000000, 3
11243.000000, 2
11263.000000, 1
11303.000000, 0
12203.000000, 7
12203.000000, 8
12203.000000, 9
12203.000000, 10
12203.000000, 11
12203.000000, 12
12203.000000, 13
12204.000000, 6
12213.000000, 5
12223.000000, 4
12233.000000, 3
12243.000000, 2
12263.000000, 1
12303.000000, 0
13203.000000, 7
13203.000000, 8
13203.000000, 9
13203.000000, 10
13203.000000, 11
13203.000000, 12
13203.000000, 13
13204.000000, 6
13213.000000, 5
13223.000000, 4
13233.000000, 3
13243.000000, 2
13263.000000, 1
13303.000000, 0
14203.000000, 7
14203.000000, 8
14203.000000, 9
14203.000000, 10
14203.000000, 11
14203.000000, 12
14203.000000, 13
14204.000000, 6
14213.000000, 5
14223.000000, 4
14233.000000, 3
14243.000000, 2
14263.000000, 1
14303.000000, 0
15203.000000, 7
15203.000000, 8
15203.000000, 9
15203.000000, 10
15203.000000, 11
15203.000000, 12
15203.000000, 13
15204.000000, 6
15213.000000, 5
15223.000000, 4
15233.000000, 3
15243.000000, 2
15263.000000, 1
15303.000000, 0
16203.000000, 7
16203.000000, 8
16203.000000, 9
16203.000000, 10
16203.000000, 11
16203.000000, 12
16203.000000, 13
16204.000000, 6
16213.000000, 5
16223.000000, 4
16233.000000, 3
16243.000000, 2
16263.000000, 1
16303.000000, 0
17203.000000, 7
17203.000000, 8
17203.000000, 9
17203.000000, 10
17203.000000, 11
17203.000000, 12
17203.000000, 13
17204.000000, 6
17213.000000, 5
17223.000000, 4
17233.000000, 3
17243.000000, 2
17263.000000, 1
17303.000000, 0
18203.000000, 7
18203.000000, 8
18203.000000, 9
18203.000000, 10
18203.000000, 11
18203.000000, 12
18203.000000, 13
18204.000000, 6
18213.000000, 5
18223.000000, 4
18233.000000, 3
18243.000000, 2
18263.000000, 1
18303.000000, 0
19203.000000, 7
19203.000000, 8
19203.000000, 9
19203.000000, 10
19203.000000, 11
19203.000000, 12
19203.000000, 13
19204.000000, 6
19213.000000, 5
19223.000000, 4
19233.000000, 3
19243.000000, 2
19263.000000, 1
19303.000000, 0
20203.000000, 7
20203.000000, 8
20203.000000, 9
20203.000000, 10
20203.000000, 11
20203.000000, 12
20203.000000, 13
20204.000000, 6
20213.000000, 5
20223.000000, 4
20233.000000, 3
20243.000000, 2
20263.000000, 1
20303.000000, 0
21203.000000, 7
21203.000000, 8
21203.000000, 9
21203.000000, 10
21203.000000, 11
21203.000000, 12
21203.000000, 13
21204.000000, 6
21213.000000, 5
21223.000000, 4
21233.000000, 3
21243.000000, 2
21263.000000, 1
21303.000000, 0
22203.000000, 7
22203.000000, 8
22203.000000, 9
22203.000000, 10
22203.000000, 11
22203.000000, 12
22203.000000, 13
22204.000000, 6
22213.000000, 5
22223.000000, 4
22233.000000, 3
22243.000000, 2
22263.000000, 1
22303.000000, 0
23203.000000, 7
23203.000000, 8
23203.000000, 9
23203.000000, 10
23203.000000, 11
23203.000000, 12
23203.000000, 13
23204.000000, 6
23213.000000, 5
23223.000000, 4
23233.000000, 3
23243.000000, 2
23263.000000, 1
23303.000000, 0
24203.000000, 7
24203.000000, 8
24203.000000, 9
24203.000000, 10
24203.000000, 11
24203.000000, 12
24203.000000, 13
24204.000000, 6
24213.000000, 5
24223.000000, 4
24233.000000, 3
24243.000000, 2
24263.000000, 1
24303.000000, 0
25203.000000, 7
25203.000000, 8
25203.000000, 9
25203.000000, 10
25203.000000, 11
25203.000000, 12
25203.000000, 13
25204.000000, 6
25213.000000, 5
25223.000000, 4
25233.000000, 3
25243.000000, 2
25263.000000, 1
25303.000000, 0
26203.000000, 7
26203.000000, 8
26203.000000, 9
26203.000000, 10
26203.000000, 11
26203.000000, 12
26203.000000, 13
26204.000000, 6
26213.000000, 5
26223.000000, 4
26233.000000, 3
26243.000000, 2
26263.000000, 1
26303.000000, 0
27203.000000, 7
27203.000000, 8
27203.000000, 9
27203.000000, 10
27203.000000, 11
27203.000000, 12
27203.000000, 13
27204.000000, 6
27213.000000, 5
27223.000000, 4
27233.000000, 3
27243.000000, 2
27263.000000, 1
27303.000000, 0
28203.000000, 7
28203.000000, 8
28203.000000, 9
28203.000000, 10
